review_content,published_at,reviewer_name,followers_level,method_of_acquisition,product_id,reviewer_id,reviews_count,reviewer_age,reviewer_skin_type,rating,effects,review_id
"
マットだけど、唇の上で固まりすぎず上品な仕上がりになるのがとてもいいです！
",2024/5/14 21:18:58,2.5iog,,購入品,10235574,7085346,73,21,敏感肌,7,,513615748
"メイクアドバイスで付けていただき、購入しました。
深みのあるローズカラーで、使うのが難しいかな？と思いましたが、チップでぼかすようにつけるとナチュラルなローズで肌色が明るく見えて驚きました。
マットな質感なので唇だけ浮くこともないですし、荒れやすい唇でもパサついて皮が剥けてくることもないのでとても優秀だと感じました。

質感的に難しいかもしれませんが、もっとナチュラルメイクにつけやすい色味が増えたら更に良いなと思いました。
",2024/5/11 09:29:53,だいきほ,100,購入品,10235574,6772277,164,50,乾燥肌,5,うるおい|マット|フィット感|持ちがよい・落ちにくい|発色がよい,513423191
"ルージュ　ディオール
ディオール


こちらのルージュディオール
2024に新生されましたので、
私の手持ち商品は旧製品のクチコミになります

ルージュディオール
365　NEW WORLD SATIN
を使用しています

こちらを選んだ理由は
(ネーミング)+(番号)が美しくて手に取りました
シャネルにはない、オレンジ基調みたいな
明るさを取り入れた恵みある空気を放っていました
それから、
365ニューワールドサテンの信者になりました
ルージュディオールはこちら1本だけを
ずっと使っています、オンリー
現在は日本に住んでいますが、
【異世界】を含んでいるよう珍しいカラーだと
思っています
365の大ファンです
実は
『007』ボンドガールを意識して愛用しています
ボンドガールのファンです☆

現在はシャネルとYSLがメインですが
365はルージュディオールの中で１番好みです
なので、
他のルージュディオールのカラーは購入しません
不思議なんですが、こちらの365は
肌を綺麗に見せてくれるルージュだと思いました
はっきりしているカラーなんですが主張が強くないカラーだとかんじています
１日のスタートを素敵にgoできます

私、個人の感想になります
ディオール店舗購入もしましたが
@コスメさんでも購入履歴ありました

",2024/6/26 18:46:59,★みなとみらい★,500,購入品,10250117,5755461,463,48,敏感肌,5,,513799899
"2024年上半期ベスコス！ルージュディオール434 プロムナードサテンがVOCE、MAQUIAでランクイン！！
これがベスコス選ばれなかったらおかしいよ！と思える最高のリニューアルに拍手！

ベルベットタイプは年明けすぐに口コミしたのにサテンは6月でごめんなさい。
決してベルベットよりダメだったわけじゃないです。

サテンタイプはベスコスに選ばれた434 プロムナードと、蛯原友里さんが使っていてすごく可愛かった720 アイコンを購入。

434を初めてタッチアップした時、これはトムフォードのリップカラーの代表とも言える『リバティーン』に似てる！！絶対ベスコス入るわ！と思いました。

写真2枚目で比較してみましたが、上から

トムフォード リバティーン

ディオール 434プロムナード

ディオール 720 アイコン

トムフォード ネイキッドローズ（サテンマット）


上２つのカラーは何にでも合うベージュというところでしょうか。
迷ったらこれ塗っとけばなんとかなるというくらい万能ですが、リバティーンの方がやや色っぽい印象。
434プロムナードはリバティーンよりややピンク感がありフェミニン寄りな印象。
色は近いものの、どちらもすごく良い色なのでオススメです。

また、下2つはピンク感のあるフェミニン寄りな赤といったカラーです。
ネイキッドローズはサテンマットなので甘さ控えめ。
ディオールの方がやはりピンク多めでかわいい赤です。

どちらも大人が似合う赤だし、尖り過ぎた色じゃないので使いやすいと思います。",2024/6/24 17:00:26,えんぴこぴ、,100,購入品,10250117,3530345,477,39,混合肌,,うるおい|ナチュラルメイク|ツヤ|立体感|フィット感|発色がよい,513790824
"発売されてからずっと気になってたため購入！

発色もよく、お気に入りです！",2024/6/24 08:06:53,ふぇありー11,,購入品,10250117,9745511,22,31,普通肌,7,,513788799
"しっかりした発色です。
マットな感じが可愛いけど、ちょっと乾燥しやすい。

",2024/6/18 20:18:57,chacoot1020,,購入品,10226401,9570638,6,37,敏感肌,4,発色がよい,513764501
"
色も好み、落ちにくい、ニオイさえなければ毎日でも使いたいです。
",2024/6/13 19:35:11,HL0395,5,購入品,10226401,7370033,106,54,普通肌,2,マット|持ちがよい・落ちにくい,513738468
"
口紅の色がめっちゃ可愛くて、外国でも人気色になる
",2024/5/27 20:46:30,Melani,,購入品,10226401,10115632,1,26,混合肌,7,持ちがよい・落ちにくい,513663542
"
15と11をタッチアップ。15はマットで11は透け感があり、色味としてはかなり似ている。マットは落ちないと言われたら食事をしたらすぐ落ちた。青みピンクでこちらを紹介してもらったが、特に欲しいと思えなかった。
",2024/6/12 20:53:43,☆ステラ★,,モニター・プレゼント,10224610,3245582,150,34,脂性肌,,,513733768
"
14を購入(  ´  ` )可愛いお色です。人気色みたいですね!
",2024/5/31 00:42:11,あやか1120,100,購入品,10224610,6807306,182,40,普通肌,7,ナチュラルメイク|ツヤ|うるおい,511113444
"14 skin roseはその名の通りローズ系のベージュカラーで普段使いしやすいお色です。
パールやラメは入っておらず肌に馴染む感じです。
ムラになったり縦皺が目立ったりもありません。
アプリケーターも塗りやすく口角まで綺麗に塗れます。
ただもちはあまりよくなく飲食で落ちてしまうのが残念です。
もう少し残ってくれると嬉しです。",2024/5/11 20:02:20,ラフリ,100,購入品,10224610,789916,458,37,敏感肌,5,ナチュラルメイク|立体感|フィット感,513032747
"ティントで落ちにくいけど全く乾燥、荒れがないのがいいです。
ツヤ感が強く、発色もヨシ。
塗った後は少しぬるっとオイル感があって気になるので、軽くティッシュオフすると自然で唇だけ悪目立ちしません。",2024/6/24 09:13:33,わりさ,5,購入品,10194950,885616,149,43,乾燥肌,4,うるおい|ツヤ|持ちがよい・落ちにくい|発色がよい,513788945
"
元々他のコラボカラーを使用していて使いやすく気に入ってたのでこちらのカラーを購入しましたが、少し蛍光色になってしまい唇が荒れているところに色が濃く着いてしまいました…。
",2024/6/23 19:56:18,★えんぽん★,,購入品,10194950,6768347,44,34,混合肌,3,,513786856
"
細くてスルスルと塗りやすいし見た目の発色で良いです。もう１本気になってる色味があるので又購入したいです
",2024/6/21 17:16:16,にゃん太郎1163,,購入品,10194950,9393995,14,52,敏感肌,7,,513777562
"多色展開で自分にピッタリ！と思う色と出会えたので購入しました。
発色が良く、見たまま唇で色が出る感じですが、思ったより潤い感がなかったので
ジルスチュアート クリスタルブルーム リップブーケ セラムとあわせて使用しています。
（わたしはルージュクレーム ブリアンのみで使用すると唇の縦ジワが気になってしまいました。）",2024/5/12 16:43:19,ホキユ,,購入品,10235567,2912142,26,30,脂性肌,6,発色がよい,513606631
"
発色の良さ・色もちの良さ・塗りやすさが気に入っており、シリーズで購入しています。新色が増えることを期待しています！
",2024/5/10 20:58:31,62さくさく,,購入品,10235567,8764679,15,25,乾燥肌,7,,513599320
"日焼け止め購入時にBAさんにすすめられて購入しました！
つけ心地は瑞々しく、ツヤツヤして発色も良いです^_^

ブルベ色ですが、イエベの私でも使えました
多分、セカンドがブルベサマーだからだと思いますが。

チップで塗るとしっかりと発色するので、ポンポン塗り
してます。
唇の乾燥もなく、皮むけもなく、このリップ付けてると
どこの？って聞かれる事が多いので…
外出時のリップポーチに常に入れてます！",2024/4/25 08:30:37,kei924,50,購入品,10235567,9095347,93,54,乾燥肌,6,マット|ツヤ|フィット感|持ちがよい・落ちにくい|発色がよい,513541075
"
オレンジっぽい色味でイエベの私には似合うと思いました
",2024/6/25 00:10:07,モモンガちいちい,,購入品,10055980,10207352,1,27,混合肌,5,,513792557
"安くて可愛いリップでした！
塗りやすかったし発色も良くて次は違う色にしようと思っていましたが、想像以上に荒れてしまったのであまり使わなくなりました。
保湿するようにしていますがリピはやっぱりなしかな。",2024/6/23 21:34:17,インフィニティ☆,50,購入品,10055980,10163652,18,34,混合肌,3,,513768356
"
友達がキャンメイクのこちらのリップを使っていて、ブルーベースのサマーの子だったのですが、唯一このリップはオレンジが自分に合うと言っていました。私は普通に多分イエローベースなのでオレンジリップは気に入っています。
",2024/6/21 21:20:57,膝小僧にビンタ,100,購入品,10055980,9892938,26,43,混合肌,5,,513778350
"某通販サイトで、定価より高くなりましたが
購入する事ができました。

ずっと気になっていたので、試せて良かったです。

とても苦手なカラーがあるので
早速鉄色モンスターを重ねましたが
やっぱり苦手でした。

ミックスモンスターで使おうと思います。",2024/6/24 16:13:05,rie777,50,購入品,10252294,196378,1163,48,混合肌,3,,513790654
"通常のリプモンより細くて塗りやすいです！
上から重ねて塗る事で色味を変えられるアイテムで、イエベ寄りのマイルドな色やくすんだ色にしてくれます
汚くならずしっかり色味を変えられるので感動しました！メイクに合わせて持っているリップで遊べるのでとても良いです",2024/6/24 07:11:45,カンザキミナミ,100,購入品,10252294,8921592,199,27,脂性肌,6,フィット感|持ちがよい・落ちにくい|発色がよい,513788710
"
手持ちのリップを簡単にイエベトーンに変えられるからめちゃくちゃ気に入ってます！塗り心地もよきです！
",2024/6/23 03:39:23,アリエリ☆彡,10,購入品,10252294,4510375,80,31,乾燥肌,7,,513783643
"ふっくらつや感が出て割と長持ち、取れた後も唇が元気でがさつきにくいです。
今まで付けたグロス系はどれも相性なのか時間が経つと唇が乾燥した感じになってしまっていたので、ようやく出会えた！と感動してます笑 めっちゃお気に入りです。

色は口紅の上から塗るとニュアンスくらい、ラメは控えめなちらちらがしっかり乗ります。
匂いはだいぶ甘いので好き嫌いはあるかもしれません。",2024/6/22 23:33:45,umi53,,購入品,10218602,9012609,8,28,敏感肌,7,,513783104
"2本セットを購入。
ラメグロスを持っていなかったので試してみたかったのです。

BabyDollはほんのり色付き、荷物を限りなく減らしたい時はこれで充分です！
macaronの方は、私には少しかわいすぎるかも…。若い方には似合いそうです。ただ、濃い目の赤リップと合わせると立体感が際立って、それはそれで良きです。


バニラの香りが強めというコメントがありましたが、甘い香りが苦手な私でもこれは平気でした。いい香料使ってるのかな？

つける時はバニラッ！て感じですが、その後はそこまで気になりませんでした。



2本セットでさらに10％バックでお得に購入できて良かったです♪",2024/6/21 13:36:52,黒猫の三角★,,購入品,10218602,8163835,18,43,普通肌,5,,513776791
"
バニラの様な、甘い香りがするので香りに好みがあると思います。少しベタつくグロスですが、しっとりツヤツヤになり不自然なテカテカにはなりません。
",2024/6/17 15:55:05,ももた0310,,購入品,10218602,9973077,2,44,混合肌,6,,513758401
"08のピュアピンクを購入しました。
すべて透け感のあるカラーなので、普段選ばない色も挑戦しやすくて、大好きなリップです。
アンミックスのリップ下地を塗ってから重ねるときれいに発色しました。",2024/6/19 15:37:02,ゆみぴぴ＊,5,購入品,10204781,4606303,62,24,普通肌,6,,513768312
"
なめらかな塗り心地で、ツヤのある仕上がりです。
",2024/6/11 21:18:03,ふらわーぶーけ,5,購入品,10204781,7495240,103,25,敏感肌,5,,513728878
"
ブルベカラーで色味は可愛かったですが、自分には合わず残念でした。でも、見た目も可愛く塗りやすかったと思います！
",2024/6/9 12:47:06,yurrrr.ko,,購入品,10204781,7983165,23,31,混合肌,3,,513716100
"101　スモーキーローズ

3色をスウォッチしていくれている方がいて、
一番落ち着いた色のこちらを購入。

まず太っ！リップライナーじゃなくて塗り潰し用ですよね。

そして3色のなかでは一番落ち着いている色かと思いきや、塗ってみると薄っ！（笑）

薄すぎてラインなんて取れないし、太いから繊細な部分が描けないし。

若い子用なんだな、と納得しました。",2024/6/24 14:51:58,@robin,50,購入品,10229943,1095538,565,52,混合肌,3,,513790360
"
するする描きやすいです
",2024/6/19 19:02:25,ザッハトルテタルトタタン,,購入品,10229943,8143193,22,30,乾燥肌,6,,513769211
"
やや太めのペンシルなので多少雑に描いても大丈夫でした。マットな仕上がりなので少し乾燥を感じます。色が私には黄味が強過ぎたかもしれません。
",2024/6/18 22:30:06,minitomato,,購入品,10229943,2052539,219,43,乾燥肌,3,,513765166
"コスパもいいのに色持ちやばい！
はみ出して塗った時にすぐオフしないと取れないレベル！笑
ベトベトしなくて、コップにもつきにくいのに塗り直そうと鏡を見ると色味が死んでなくてさすが古川優香ちゃん。。
完全に信者です。
何色も持ってるよ！
ブルベの気分とイエベの気分で使い分けたりしてる！",2024/6/4 11:05:07,リてやん,25,購入品,10189707,6946175,203,26,乾燥肌,7,うるおい|ナチュラルメイク|マット|ツヤ|肌の透明感・薄づき|立体感|フィット感|持ちがよい・落ちにくい|発色がよい|パール・ラメ|コストパフォーマンス,513676245
"
手に出してみたときはすごく落ちにくさを感じたのですが、唇に塗るとそこまで残る感じではなくティント、、って感じです。色味も時間が経つと少し違う感じになってくるかなと思います。ちょっと残念
",2024/6/1 08:07:28,lizlili,,購入品,10189707,7948739,14,31,乾燥肌,3,,513678584
"
いろんなリップを試してきましたが、1番荒れないなかなか落ちないし、毎日使っていても減りも少ないし最高です。廃盤になってしまいましたが、新しいシリーズのリカフロッシュを購入してみようと思います！
",2024/5/26 15:30:29,リトルピーチ姫,,購入品,10189707,5073590,3,24,乾燥肌,7,,513659166
"05を購入。
クリアなオレンジベージュカラーです。
瑞々しくて透け感のある使い心地。
季節的には春夏にぴったり。オレンジやイエロー系のメイクに合います。
透明感があるのでブルベの方でも2ndが春の方などに合いそうです。
とっても可愛いキャンディーカラーです。",2024/6/15 10:30:34,ブリジット☆ジョーンズ,,購入品,10232480,664325,82,41,混合肌,4,うるおい|ナチュラルメイク|ツヤ,513745928
"
もともと03を愛用していて底みえしてきたので、買い足しです。夏なので少しコーラルよりの04を選びました。口紅ともグロスとも違う不思議な軽い使用感でティントだけど乾きません。ナチュラルで気分良く過ごせます。大好きな商品です。ひとつ欠点？なのは劣化が早いように思います。なので星ひとつだけ減らしました。
",2024/6/10 17:21:48,Tomochina,,購入品,10232480,2813367,13,57,普通肌,6,ナチュラルメイク|フィット感|発色がよい,513722594
"threeの直営店にてメイクしていただいた際、こちらのリップを試しました。
ヌードベージュの色味は、ほんのり色づく印象であり、とても軽いつけ心地です。
飲食しても、ほんのり色味が残ってました。
７月に新作も出るようなので、その際に購入しようか検討中です。",2024/6/5 18:19:27,栗うま,,モニター・プレゼント,10232480,10089592,9,23,混合肌,,うるおい|ナチュラルメイク|フィット感,513698418
"
限定セットについてくるので、色を選んで購入してみました。思ってたほどツヤが出なかった。つけてないのと一緒です。
",2024/6/24 11:48:42,よもぎ茶,10,購入品,10207587,421622,282,37,敏感肌,2,,513789581
"これぞまさに濡れ艶感！って感じがして今までにない仕上がりでした！
スティックだからツヤを出したいところにピンポイントに使えるし、パウダーじゃないから乾燥も感じることなく使えました。
今の時期だとテカリっぽくなりやすいので秋頃まで封印しようかな。",2024/6/21 15:48:09,鉄分大事,100,購入品,10207587,10049862,36,31,混合肌,4,,513777272
"濡れ艶しっとり肌を演出できます。

マットなファンデーションを使用しているので、部分的な艶がほしくて購入しました。
細かいパールなので派手になることなく、自然な艶感を出してくれます。
バーム自体が柔らかいので、指で取ってからピンポイントでぽんぽんと乗せるのがいいと思います。

夏場のヘルシーメイクに活躍してくれると思います☆",2024/6/10 21:05:56,Saatan55,,購入品,10207587,10035417,15,26,乾燥肌,4,うるおい|ツヤ|立体感|パール・ラメ,513723533
"
色がとっても可愛いです。唇がぷっくりになって発色もいいです。ただ、スティックの部分が長いのか柔らかいのか、唇のふちの部分が上手く塗れません。練習します。
",2024/6/20 12:28:24,ざっとん★,,購入品,10196229,6389623,14,44,混合肌,5,,513772347
"
落ちやすさはあります。でもいほがすごくかわいかった。
",2024/6/13 23:59:55,なかじま＊,,購入品,10196229,5435247,36,23,脂性肌,3,,513739884
"発色抜群！
唇に優しい使用感なのはもちろん、
発色の良さに驚きました。
個人的にマキシマイザーのインテンスシリーズの色の出方に似ていると思います。
色持ちも悪くないので、これ一本で完成してとても便利です。",2024/6/13 11:05:20,★さとしん★,10,購入品,10196229,6764328,197,33,敏感肌,6,うるおい|低刺激|ツヤ|持ちがよい・落ちにくい|発色がよい,513736255
"マットでも乾燥感は気にならずしっかりフィットしてくれてる感じがします。

はみ出さないように気をつけないとすぐ拭いても残ってる事も。笑笑
落ちないと言われますが、コップとかにはびっちり付きました。えぇーっ！てなりましたが唇にもちゃんと色味は残ってる方と思います。
プルっと感がほしい時は上からプランパーなどのせればまた可愛いし、他の色も試してみたくなりました。",2024/6/13 13:17:36,れとちゃん。,5,購入品,10134835,8805695,66,35,混合肌,6,,513736878
"
このリップの違う色を以前買った時に、とても落ちにくいと感じたのでまた買いました！
",2024/6/4 18:55:48,まりしゃん1995,,購入品,10134835,8648554,26,28,混合肌,6,,513693988
"
お気に入りです
",2024/6/4 01:31:11,ハルナ32,,購入品,10134835,5527475,7,26,乾燥肌,7,,513691077
"数量限定色、Velvet Drape

塗り心地はスルスル滑らか、艶々にもなるのに、落ちにくい！！

プランプメロウリップスと比べても、リプモンと比べても、色落ちが格段に少ないと感じました！

唇も荒れませんでした。

めちゃめちゃ可愛いお色

他の色もほしいな?！

",2024/6/21 23:09:10,みさ0083,,購入品,10248423,8920400,3,44,混合肌,6,ツヤ|立体感|フィット感|持ちがよい・落ちにくい|発色がよい,513778854
"
タッチアップして購入しました。リップモンスターの上位互換的な感じということで、落ちにくさに期待しました。落ちにくさはありますが、塗り直すと段々皺にたまる？ちょっと塊っぽくなってきました。塗り直ししなかった日は塊はなく綺麗に落ちてました。リップで潤してから塗りなおそうと思います。
",2024/6/21 22:25:56,☆ありん☆☆,5,購入品,10248423,6583101,123,37,混合肌,4,,513778659
"セミマットと高発色がめちゃハマりました！
LUNASOLはデパコスにハマったきっかけでしたが、アイメイク方面は優しげなものが多く、強めの色が好きな私は遠のき始めていたのですが、こちらのリップはそれを覆してくれました。
かなり発色がよいので、控えめにしたいときの薄塗りはやや難しいかも。
優しい色も欲しくなりました。",2024/6/17 13:10:55,ENJI,5,購入品,10248423,5024856,43,42,混合肌,5,マット|立体感|持ちがよい・落ちにくい|発色がよい,513757551
"しっかりめで硬めのテクスチャー
だから塗りやすくて好き！
使っていても色落ち激しくなかったし
ラメが細かくたくさん入っているからキラキラする感じがとても好きでした^_^",2024/6/5 17:24:08,幻のひらたけ,25,購入品,10172392,10136783,10,31,脂性肌,6,,513683023
"まずパケが可愛くてテンションが上がります

アイシャドウの色なども問わず使えそうな色です。
マットすぎずツヤすぎずなので、たくさん使う機会も増えそうです！

大きさは他のデパコスよりも小さめのリップですが、その分値段も少し抑えられてるので買いやすいです。",2024/6/2 06:18:39,☆aYa☆,,購入品,10172392,2311649,58,38,敏感肌,4,フィット感,513682794
"
2913を持っているのですが使用感が気に入り2912も購入。ブルベにも使いやすいニュートラルなピンクです。BAさんから8月に販売終了、9月リニューアルと聞いたので必要な色は買い溜めておこうと思います。
",2024/5/15 19:00:04,ちとせあめこちゃん,,購入品,10172392,9618242,27,31,混合肌,6,,513618973
"＼青ラメの煌めきが魅力／

haomii
メルティーフラワーリップティント
101 jewel garnet

煌めくラメとぷるんとした仕上がりで毎日メイクにアクセントがつけられるティントリップ。

なめらかについてツヤが美しくうるおいもプラス。

ティントだから飲食しても色が残り、唇だけすっぴんなんてことにならない！

101 ジュエルガーネットは、
繊細な青ラメが煌めくショコラブラウン。

1度塗り・2度塗りとでは雰囲気が変わるので、TPOや気分に合わせて調節するのも楽しい

チップは先端が薄いつくりになっていて、唇からはみ出しにくいのも◎

#haomii #haomiiメルティーフラワーリップティント #メルティーフラワーリップティント #ジュエルガーネット #ブラウンリップ #ティントリップ #ティント #メイク #リップ #青ラメ #青ラメリップ",2024/6/24 08:05:33,怪盗ち,500,モニター・プレゼント,10224575,3862818,693,40,普通肌,4,うるおい|ツヤ|立体感|フィット感|持ちがよい・落ちにくい|発色がよい|パール・ラメ|コストパフォーマンス,513788798
"
娘が使っているのを見て、良さそうだったので買ってみました。綺麗な発色で、ちゅるっとした今どきっぽい仕上がりになる気がします。艶のある仕上がりの方が老けて見えない気がして、重宝しています。パッケージもおしゃれな感じがします。
",2024/6/24 02:50:39,つだみんご,50,購入品,10224575,10092738,19,53,乾燥肌,5,うるおい|ナチュラルメイク|持ちがよい・落ちにくい|発色がよい,513788537
"
ちゅるんとした仕上がりの、お気に入りのリップティントです。パッケージがすりガラスみたいでかわいらしく、気になったので買ってみました！発色良く、お洒落なニュアンスカラーが揃っています。重ねて印象チェンジしたいときにも使えるので便利！色もちもしっかりしていました。
",2024/6/12 22:23:41,つるつるコ,,購入品,10224575,9920363,37,25,混合肌,5,うるおい|ツヤ|持ちがよい・落ちにくい|発色がよい,513734357
"スルスルと描きやすく自分の唇の色に合わせてオーバーリップを自然に作れます。
元々唇はあまり乾燥しないのでプライマーはどっちでも良いかなと言う感じです。どちらかと言うとぼかせるチップか、太いラインが描けるものがついてたら良かったかな。

なので似たような色があればプチプラで十分かもしれません。

あとリフィル方式でなかったのが少々マイナスです。",2024/6/24 21:31:10,つびつび,10,購入品,10189892,6378573,146,45,混合肌,4,,513791880
"YouTuberが「外に出るとメイクが薄く見えて悩んでいる人」向けにリップライナーを使うことを勧めていたので、動画内で紹介されているものではありませんが、色々な口コミをみてこちらにしました。

上唇の山と下唇の縁に塗って、リップや色付きグロスを塗っています。劇的な変化は感じませんが、色味も反対側に付属しているリップ？も使い勝手がいいです。
リピは分かりませんが、最後まで使いきれそうです。",2024/6/18 19:06:43,ゆみちょんpower,,購入品,10189892,9490439,16,35,混合肌,4,,513764218
"リップライナーは色々試しましたが、書きやすくもちも悪くないです。
付属の下地も地味にいい。
保護効果があるのか、そのまま付けると皮向けするリップ(リプモン、シャネルのチークボム)が皮向けせずきれいにのるのが、予想外の効果でしたね。
ありがたいです

色がありすぎるので店頭タッチアップ推奨します
04割とピンク！って感じです",2024/6/18 11:22:53,アドルフに告がない,,購入品,10189892,7981589,25,35,乾燥肌,5,,513762104
"
パケからしてかっこいい！
",2024/6/24 21:10:52,tometon,,購入品,10175682,9621634,2,26,普通肌,,,513791783
"
保湿リップなしでも濡れるくらいうるおう！色もかわいい^ ^
",2024/6/19 23:38:43,かんなすび,,購入品,10175682,9768055,20,22,混合肌,4,うるおい|ナチュラルメイク|発色がよい,513770631
